round,loss,accuracy,num_examples,num_batches,changed_parameters
1,0.9046013951301575,0.3333333432674408,12,4,2
2,0.8630435466766357,0.4166666567325592,12,4,2
3,0.824611485004425,0.4166666567325592,12,4,2
4,0.789073646068573,0.4166666567325592,12,4,2
5,0.7562025189399719,0.4166666567325592,12,4,2
