configuration,hidden_layers,dropout,learning_rate,batch_size,epochs_executed,best_epoch,best_val_loss,threshold,accuracy,precision,recall,f1_score,roc_auc,specificity,false_positive_rate,tn,fp,fn,tp
C0,"[64, 32]",0.2,0.001,256,18,15,0.10919734090566635,0.5,0.9462488237474693,0.9493500122639196,0.9729356068540785,0.9609981171504831,0.990187135660121,0.889375,0.110625,9961,1239,646,23223
C1,"[32, 16]",0.2,0.001,256,20,19,0.11101580411195755,0.5,0.9460492172574069,0.9510323030825432,0.970715153546441,0.9607729308343009,0.9895617896494556,0.8934821428571429,0.10651785714285714,10007,1193,699,23170
C2,"[64, 32]",0.3,0.001,256,18,15,0.10978284478187561,0.5,0.9461632781088711,0.9489033206714863,0.9733126649629226,0.9609530112508272,0.9900923642740435,0.8883035714285714,0.11169642857142857,9949,1251,637,23232
C3,"[64, 32]",0.2,0.0005,256,20,19,0.11050251871347427,0.5,0.9452507912971571,0.9518672540865484,0.9685365955842306,0.9601295788686768,0.9897280094324377,0.895625,0.104375,10031,1169,751,23118
C4,"[128, 64]",0.2,0.001,256,20,19,0.10777327418327332,0.5,0.9463058541732015,0.9556495067561966,0.965939084167749,0.9607667465360975,0.9902055022803038,0.9044642857142857,0.09553571428571428,10130,1070,813,23056
