loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0.18711484968662262,0.9235057830810547,0.9178022742271423,0.9749245643615723,0.9702200889587402,0.12977580726146698,0.9375231862068176,0.9421916007995605,0.9675729870796204,0.986070454120636
0.12997223436832428,0.9377780556678772,0.9325866103172302,0.9793761372566223,0.9854182004928589,0.1211627796292305,0.9428555369377136,0.9332963228225708,0.9865515828132629,0.9874444603919983
0.12480675429105759,0.9394391179084778,0.9349676370620728,0.9791247844696045,0.9865790605545044,0.1183963194489479,0.9427984952926636,0.9412310719490051,0.9769575595855713,0.9879264831542969
0.12246407568454742,0.94002366065979,0.9359445571899414,0.9788733720779419,0.9870922565460205,0.11637047678232193,0.9443953633308411,0.9416481852531433,0.9789685606956482,0.9884047508239746
0.12077567726373672,0.9405940175056458,0.9368176460266113,0.9787267446517944,0.9875021576881409,0.11470282822847366,0.9447945356369019,0.9422510862350464,0.978884756565094,0.9887620210647583
0.11959610134363174,0.941228449344635,0.938613772392273,0.9775850772857666,0.9877575039863586,0.11425486952066422,0.9438250064849854,0.9364610910415649,0.9842473268508911,0.9889246225357056
0.11826265603303909,0.9419199824333191,0.9397870898246765,0.9772812724113464,0.9880726933479309,0.11320659518241882,0.9449941515922546,0.9419822692871094,0.9795131683349609,0.9891481399536133
0.11715448647737503,0.9423192143440247,0.9406105279922485,0.976935625076294,0.9883160591125488,0.11369090527296066,0.9447945356369019,0.9486560821533203,0.9714692831039429,0.9890921115875244
0.11616866290569305,0.9428538680076599,0.9421703815460205,0.9759405851364136,0.9885589480400085,0.11200134456157684,0.9465054869651794,0.9477220177650452,0.975197970867157,0.9893905520439148
0.11547472327947617,0.9434741139411926,0.9427669644355774,0.9762129187583923,0.9887278079986572,0.11277095973491669,0.9443668127059937,0.9512476325035095,0.9678662419319153,0.989245593547821
0.11498529464006424,0.9437949061393738,0.9439690709114075,0.9753121137619019,0.9888268113136292,0.11203150451183319,0.9447660446166992,0.945265531539917,0.9753236174583435,0.9893759489059448
0.11403955519199371,0.9437307715415955,0.9442161917686462,0.9749245643615723,0.9890977144241333,0.11091163009405136,0.9453648328781128,0.9448789954185486,0.9767062067985535,0.9896150827407837
0.11397991329431534,0.9439374804496765,0.945035994052887,0.9742961525917053,0.989090085029602,0.11123789101839066,0.945849597454071,0.9512405395507812,0.9701704978942871,0.9895758628845215
0.11347406357526779,0.9442369341850281,0.9459742903709412,0.9736781716346741,0.989173412322998,0.11027291417121887,0.9452508091926575,0.953773021697998,0.9663999080657959,0.9898467659950256
0.11321523785591125,0.9446789026260376,0.9461081624031067,0.9742123484611511,0.9892957210540771,0.10919734090566635,0.9462488293647766,0.9493499994277954,0.9729356169700623,0.989983081817627
0.11272281408309937,0.9442083835601807,0.9467540383338928,0.9727354645729065,0.9893625378608704,0.1097429096698761,0.946419894695282,0.9508734345436096,0.9714692831039429,0.9898761510848999
0.11215965449810028,0.9444935321807861,0.946994423866272,0.9729030728340149,0.9894928336143494,0.10963988304138184,0.9462488293647766,0.9517507553100586,0.9702123999595642,0.9899129867553711
0.11210358887910843,0.9450709819793701,0.946837842464447,0.9739819169044495,0.9895219206809998,0.11022527515888214,0.9463914036750793,0.9452837109565735,0.9778373837471008,0.989803671836853
